n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,beta_setting,beta1_state,beta2_barcode,beta_runner
1024,0.40211331926897,0.645339720157713,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.396254138144682,0.689330048248093,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.45250124953013,0.555753730652477,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.466628192787659,0.566668211874964,0.861900097943193,1760,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.469071516377143,0.533657019841582,0.853085210577865,1742,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.461756088648157,0.562623544392516,0.875612144955926,1788,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.430680896128986,0.606210765742685,0.890303623898139,1818,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.448166452766512,0.584124384725035,0.867776689520078,1772,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.416124179672146,0.574447339079265,0.904015670910872,1846,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
1024,0.406985720346546,0.666687668679056,0.894221351616063,1826,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_10_beta2_5_state_dominant,10,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_10_beta2_5_state_dominant.R
