n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,eval_error,omega_setting,omega,omega_runner
1024,0.444747105798353,0.606786533040554,0.86973555337904,1776,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.411003237083047,0.622092764454269,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.4007132015817,0.671558413840697,0.897159647404505,1832,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.407747189484515,0.696578507628205,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.419612209084556,0.673073781226134,0.877571008814887,1792,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.393256023775666,0.678264941043639,0.898139079333986,1834,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.409740040438537,0.654629949239817,0.900097943192948,1838,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.455524606411712,0.552131397780908,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.459648357539347,0.579075759209097,0.861900097943193,1760,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.474262943235826,0.534458633743142,0.853085210577865,1742,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.455223116781629,0.597738796534886,0.867776689520078,1772,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.429537551416642,0.616560697714891,0.888344760039177,1814,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.45073914624965,0.573730788744124,0.867776689520078,1772,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.399970641516693,0.658051170962816,0.904015670910872,1846,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.404747890559621,0.669961174383258,0.896180215475024,1830,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.410506563761928,0.677137141842307,0.881488736532811,1800,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
1024,0.418186791710659,0.673372070301248,0.876591576885406,1790,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_2p00_strong_conflict,2,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_2p00_strong_conflict.R
