n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,alpha_setting,alpha1_state,alpha2_barcode,alpha_runner
1024,0.459559717774592,0.565968318859594,0.854064642507346,1744,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.460271377436147,0.563196853404546,0.870714985308521,1778,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.426144053596927,0.617169731799731,0.893241919686582,1824,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.438931896499321,0.609894920090641,0.870714985308521,1778,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.40118602928879,0.65422262266824,0.904015670910872,1846,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.400460704010807,0.671107163827009,0.896180215475024,1830,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.398544418934834,0.706529073620587,0.882468168462292,1802,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.408096277970466,0.69083284250305,0.881488736532811,1800,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.389630118874282,0.676559369424949,0.904015670910872,1846,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.404834475723635,0.668282431349011,0.900097943192948,1838,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.454340665062557,0.540270199183133,0.878550440744368,1794,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.458004314959418,0.594370755790791,0.861900097943193,1760,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.458743462069479,0.577697547388445,0.855044074436827,1746,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.451885076075486,0.605932789190369,0.871694417238002,1780,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.423386929444194,0.628246881057929,0.892262487757101,1822,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.447493860513096,0.585434680857536,0.868756121449559,1774,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.401316848772547,0.636718137251719,0.903036238981391,1844,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
1024,0.408465993438245,0.663660606615304,0.893241919686582,1824,FateScape,imputed_in_pipeline,0.8,0.2,100,10,alpha1_0p20_alpha2_0p80,0.2,0.8,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p20_alpha2_0p80.R
