n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,eval_error,weight_setting,weight_label,hamming_weight_mode,hamming_weight_gamma,hamming_weight_offset,hamming_weight_tau,hamming_weight_runner
1024,0.441380319570216,0.607718680024577,0.868756121449559,1774,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.401317198864165,0.637388725870985,0.904015670910872,1846,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.415192685124463,0.632101514169127,0.894221351616063,1826,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.395031242504214,0.703690779507719,0.884427032321254,1806,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.416210853913616,0.670236365978397,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.378936828986053,0.701838748121289,0.906953966699314,1852,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.403393853183909,0.657138675042923,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.455138263114502,0.540609962277408,0.878550440744368,1794,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.467508296308875,0.55290990899675,0.860920666013712,1758,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
1024,0.467935830671308,0.54434342529559,0.853085210577865,1742,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_exponential_mild,w(k)=exp(-0.5k),exponential,,,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_exponential_mild.R
