,S1,S2,S3,S4,S5,S6,S7,S8
cell_241,NA,8,NA,NA,NA,NA,NA,NA
cell_242,13,8,2,NA,NA,NA,NA,NA
cell_243,13,NA,NA,NA,NA,NA,NA,NA
cell_244,13,2,2,NA,NA,NA,NA,NA
cell_245,NA,2,NA,NA,NA,NA,NA,NA
cell_246,13,2,2,NA,NA,NA,NA,NA
cell_247,13,4,2,NA,NA,NA,NA,NA
cell_248,13,4,2,NA,NA,NA,NA,NA
cell_249,13,2,NA,NA,NA,NA,NA,NA
cell_250,13,NA,2,NA,NA,NA,NA,NA
cell_251,13,2,2,NA,NA,NA,NA,NA
cell_252,13,NA,2,NA,NA,NA,NA,NA
cell_253,NA,2,2,NA,NA,NA,NA,NA
cell_254,13,NA,2,NA,NA,NA,NA,NA
cell_255,13,NA,2,NA,NA,NA,NA,NA
cell_256,13,2,2,NA,NA,NA,NA,NA
cell_257,13,NA,NA,NA,2,2,21,NA
cell_258,13,NA,NA,NA,2,2,21,0
cell_259,13,NA,NA,NA,2,2,21,NA
cell_260,NA,NA,NA,NA,NA,2,21,2
cell_261,13,NA,NA,NA,NA,2,21,2
cell_262,13,NA,NA,NA,2,2,21,2
cell_263,13,NA,NA,NA,2,NA,21,0
cell_264,13,NA,NA,NA,2,2,21,0
cell_265,NA,NA,NA,NA,2,2,21,0
cell_266,13,NA,NA,NA,2,NA,21,0
cell_267,NA,NA,NA,NA,2,2,21,0
cell_268,13,NA,NA,NA,2,NA,21,0
cell_269,13,NA,NA,NA,NA,2,21,NA
cell_270,13,NA,NA,NA,2,2,NA,8
cell_271,13,NA,NA,NA,2,NA,21,19
cell_272,NA,NA,NA,NA,2,2,NA,0
cell_273,NA,NA,NA,NA,2,2,21,2
cell_274,13,NA,NA,NA,2,2,NA,2
cell_275,13,NA,NA,NA,2,NA,21,2
cell_276,13,NA,NA,NA,2,2,21,2
cell_277,13,NA,NA,NA,NA,2,21,2
cell_278,13,NA,NA,NA,2,NA,21,NA
cell_279,13,NA,NA,NA,2,2,NA,2
cell_280,13,NA,NA,NA,2,NA,21,2
cell_281,NA,NA,NA,NA,2,2,21,2
cell_282,13,NA,NA,NA,NA,2,21,NA
cell_283,13,NA,NA,NA,NA,2,21,2
cell_284,NA,NA,NA,NA,2,2,21,NA
cell_285,13,NA,NA,NA,2,2,21,2
cell_286,13,NA,NA,NA,NA,2,NA,2
cell_287,13,NA,NA,NA,NA,2,21,2
cell_288,13,NA,NA,NA,NA,2,21,2
