,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_168,2,5,0,2,NA,NA,NA,3,3,2,NA,2
cell_169,NA,5,2,2,NA,2,NA,2,3,0,NA,2
cell_170,2,NA,NA,2,2,2,2,0,3,0,NA,NA
cell_171,NA,NA,2,2,NA,2,2,0,3,4,2,NA
cell_172,2,5,2,NA,2,NA,2,NA,NA,NA,NA,NA
cell_173,2,5,0,NA,NA,2,NA,NA,3,0,2,2
cell_174,2,NA,21,2,NA,2,2,0,3,0,NA,2
cell_175,NA,5,NA,NA,2,2,NA,2,3,NA,2,NA
cell_176,2,5,0,2,2,NA,2,2,3,0,NA,2
cell_177,NA,5,NA,2,2,2,NA,2,3,NA,NA,NA
cell_178,2,5,2,NA,NA,2,2,NA,NA,5,2,2
cell_179,2,5,NA,2,NA,NA,2,NA,NA,14,2,NA
cell_180,NA,NA,0,NA,NA,2,NA,NA,3,2,NA,2
cell_181,2,5,0,2,2,2,NA,2,3,0,2,2
cell_182,2,5,0,NA,2,2,NA,2,3,NA,NA,2
cell_183,2,NA,NA,NA,2,2,2,2,NA,5,2,NA
cell_184,2,5,NA,2,2,2,2,2,3,0,2,2
cell_185,2,5,NA,2,NA,2,2,2,3,NA,NA,NA
cell_186,2,5,2,NA,2,2,2,2,3,NA,NA,2
cell_187,2,5,2,2,2,2,NA,2,3,2,NA,2
cell_188,2,5,NA,2,NA,2,NA,2,NA,NA,2,NA
cell_189,2,5,2,2,2,2,2,NA,NA,2,2,2
cell_190,2,5,2,2,2,NA,NA,2,3,2,2,NA
cell_191,2,5,NA,2,2,2,2,2,3,2,2,2
cell_192,2,NA,2,2,NA,2,NA,2,3,NA,2,NA
cell_193,2,10,0,NA,4,NA,NA,0,3,NA,NA,0
cell_194,NA,NA,NA,NA,4,2,2,0,3,0,NA,NA
cell_195,2,NA,NA,2,4,2,NA,NA,3,0,2,10
cell_196,2,10,0,NA,4,2,2,0,3,NA,2,10
cell_197,2,10,NA,2,4,NA,2,0,3,0,2,0
cell_198,NA,10,NA,2,4,2,NA,0,3,0,2,0
cell_199,NA,10,2,2,4,0,2,NA,3,2,NA,NA
cell_200,2,10,2,2,NA,NA,2,0,NA,2,NA,NA
cell_201,2,10,3,NA,4,6,NA,0,3,NA,NA,0
cell_202,2,10,NA,2,4,6,2,0,NA,2,NA,0
cell_203,NA,10,3,2,4,6,NA,NA,NA,NA,NA,0
cell_204,2,NA,NA,2,4,6,2,2,3,NA,2,0
cell_205,2,10,NA,NA,4,2,NA,NA,3,NA,NA,5
cell_206,2,NA,NA,2,4,2,NA,NA,3,NA,NA,0
cell_207,2,10,2,2,4,NA,NA,2,3,2,NA,0
cell_208,NA,10,0,2,4,0,NA,NA,NA,2,2,NA
cell_209,2,10,NA,2,NA,NA,2,0,3,11,2,NA
cell_210,2,10,0,2,2,NA,NA,0,NA,11,NA,2
cell_211,2,NA,NA,NA,NA,NA,2,2,NA,12,NA,NA
cell_212,2,10,NA,NA,2,0,2,2,3,0,2,NA
cell_213,2,NA,2,2,NA,9,NA,2,3,3,2,2
cell_214,2,10,2,NA,2,NA,NA,2,3,0,2,2
cell_215,2,10,NA,2,NA,0,2,NA,3,0,2,2
cell_216,NA,NA,0,2,2,0,2,NA,3,0,2,2
cell_217,NA,10,2,2,NA,NA,2,2,3,NA,NA,2
cell_218,NA,10,2,NA,0,2,2,2,3,NA,2,2
cell_219,NA,10,2,2,0,2,2,2,NA,0,2,2
cell_220,2,10,2,2,0,2,2,NA,3,NA,NA,NA
cell_221,NA,10,2,2,53,NA,2,0,NA,2,2,2
cell_222,2,10,2,2,53,NA,NA,NA,3,3,2,NA
cell_223,2,10,2,2,NA,NA,NA,2,3,NA,2,2
cell_224,2,NA,2,2,0,2,NA,0,3,0,2,2
cell_225,2,14,0,2,0,2,2,3,3,3,2,2
cell_226,2,14,0,2,0,2,2,3,3,NA,2,NA
cell_227,NA,NA,NA,2,5,2,2,3,3,NA,NA,2
cell_228,2,NA,NA,NA,5,2,2,3,3,0,2,NA
cell_229,2,14,NA,2,NA,0,2,3,3,NA,NA,2
cell_230,2,NA,15,NA,0,0,2,NA,3,0,NA,2
cell_231,NA,NA,0,2,3,NA,NA,3,3,0,2,NA
cell_232,NA,NA,2,NA,NA,2,2,NA,3,0,2,2
cell_233,NA,14,0,2,NA,5,NA,3,NA,NA,2,2
cell_234,2,14,NA,2,NA,5,NA,3,3,3,NA,2
cell_235,2,14,0,2,0,NA,2,3,NA,3,2,2
cell_236,2,14,0,2,2,5,2,NA,3,3,NA,NA
cell_237,NA,14,2,2,0,2,2,NA,3,0,2,2
cell_238,NA,14,NA,2,NA,NA,2,3,NA,0,2,2
cell_239,NA,NA,NA,2,0,2,NA,NA,NA,2,2,2
cell_240,2,NA,2,NA,4,2,2,NA,3,2,2,2
cell_241,2,NA,NA,2,NA,2,NA,3,3,2,NA,NA
cell_242,2,14,5,2,NA,NA,2,3,3,2,2,2
cell_243,2,14,5,NA,5,2,2,3,3,NA,NA,2
cell_244,2,14,5,2,5,2,NA,3,3,NA,2,2
cell_245,2,NA,NA,2,5,0,2,3,3,2,NA,2
cell_246,2,NA,5,2,NA,3,2,3,NA,2,2,2
cell_247,2,NA,5,2,NA,4,2,NA,3,2,NA,2
