,S1,S2,S3,S4,S5,S6,S7,S8
cell_152,4,12,2,4,2,NA,NA,3
cell_153,4,12,2,4,NA,NA,NA,NA
cell_154,NA,12,2,4,NA,NA,NA,NA
cell_155,4,NA,2,4,0,NA,NA,NA
cell_156,4,12,2,4,NA,NA,NA,3
cell_157,4,12,2,4,0,NA,NA,3
cell_158,4,12,2,NA,3,NA,NA,3
cell_159,NA,12,NA,NA,2,NA,NA,3
cell_160,4,12,NA,4,NA,NA,NA,NA
cell_161,NA,12,2,4,2,NA,NA,5
cell_162,4,NA,2,4,2,NA,NA,5
cell_163,4,12,2,NA,2,NA,NA,5
cell_164,4,12,2,4,2,NA,NA,5
cell_165,4,12,2,NA,2,NA,NA,NA
cell_166,4,12,2,NA,2,NA,NA,5
cell_167,4,12,2,4,NA,NA,NA,NA
cell_168,NA,12,NA,4,2,NA,NA,5
cell_169,4,12,2,4,NA,NA,NA,4
cell_170,NA,NA,2,NA,NA,NA,NA,4
cell_171,4,NA,2,4,2,NA,NA,0
cell_172,4,NA,2,4,2,NA,NA,NA
cell_173,4,12,2,4,2,NA,NA,0
cell_174,4,12,2,4,2,NA,NA,0
cell_175,4,12,2,4,2,NA,NA,5
cell_176,4,12,NA,4,2,NA,NA,5
cell_177,4,12,2,4,2,NA,NA,NA
cell_178,4,12,2,4,2,NA,NA,3
cell_179,4,12,2,4,2,NA,NA,NA
cell_180,4,12,2,4,NA,NA,NA,3
cell_181,4,12,2,NA,2,NA,NA,3
cell_182,4,12,2,4,2,NA,NA,NA
cell_183,4,12,2,4,2,NA,NA,NA
cell_184,4,12,2,4,2,NA,NA,3
cell_185,4,NA,2,4,2,NA,NA,2
cell_186,NA,12,2,4,2,NA,NA,2
cell_187,4,12,2,NA,NA,NA,NA,4
cell_188,4,NA,2,4,2,NA,NA,4
cell_189,4,NA,2,4,NA,NA,NA,0
cell_190,4,12,2,NA,2,NA,NA,2
cell_191,NA,NA,2,4,2,NA,NA,4
cell_192,4,12,2,4,2,NA,NA,4
cell_193,NA,NA,2,4,NA,NA,NA,NA
cell_194,4,12,2,4,5,NA,NA,2
cell_195,4,12,2,4,0,NA,NA,2
cell_196,NA,12,2,4,NA,NA,NA,2
cell_197,4,12,2,4,NA,NA,NA,2
cell_198,4,12,2,4,2,NA,NA,2
cell_199,4,12,NA,4,0,NA,NA,2
cell_200,4,12,2,4,0,NA,NA,2
cell_201,4,12,2,NA,73,NA,NA,2
cell_202,4,12,NA,4,73,NA,NA,2
cell_203,4,NA,2,4,73,NA,NA,NA
cell_204,4,12,2,4,73,NA,NA,2
cell_205,4,12,NA,4,73,NA,NA,2
cell_206,NA,12,2,4,73,NA,NA,2
cell_207,4,NA,2,4,NA,NA,NA,2
cell_208,4,12,NA,4,73,NA,NA,2
cell_209,4,NA,0,4,5,NA,NA,2
cell_210,NA,12,0,4,NA,NA,NA,2
cell_211,4,NA,0,4,NA,NA,NA,2
cell_212,4,12,0,NA,0,NA,NA,2
cell_213,4,12,NA,4,NA,NA,NA,2
cell_214,4,12,NA,4,3,NA,NA,2
cell_215,4,12,0,4,NA,NA,NA,NA
cell_216,4,NA,0,4,2,NA,NA,2
cell_217,4,12,3,4,2,NA,NA,2
cell_218,4,12,3,4,2,NA,NA,2
cell_219,4,12,3,4,2,NA,NA,2
cell_220,NA,12,3,4,2,NA,NA,2
cell_221,4,NA,3,NA,2,NA,NA,NA
cell_222,4,12,NA,4,2,NA,NA,2
cell_223,4,12,3,NA,2,NA,NA,2
cell_224,4,12,3,4,2,NA,NA,2
cell_225,4,12,NA,4,0,NA,NA,NA
cell_226,NA,NA,2,4,0,NA,NA,NA
cell_227,4,12,4,NA,8,NA,NA,NA
cell_228,4,12,0,4,8,NA,NA,2
cell_229,4,12,0,4,0,NA,NA,2
cell_230,4,12,NA,4,0,NA,NA,NA
cell_231,4,12,2,4,0,NA,NA,2
cell_232,4,12,NA,4,3,NA,NA,2
cell_233,4,NA,0,4,NA,NA,NA,0
cell_234,4,12,0,NA,0,NA,NA,0
cell_235,4,NA,0,4,0,NA,NA,0
cell_236,4,12,0,4,3,NA,NA,NA
cell_237,NA,12,2,4,NA,NA,NA,0
cell_238,4,12,NA,NA,0,NA,NA,0
cell_239,NA,NA,2,NA,NA,NA,NA,12
cell_240,4,12,2,4,0,NA,NA,12
cell_241,4,12,0,4,2,NA,NA,2
cell_242,NA,12,0,4,2,NA,NA,2
cell_243,4,12,0,4,2,NA,NA,2
cell_244,4,12,0,4,2,NA,NA,2
cell_245,NA,12,2,NA,2,NA,NA,2
cell_246,4,12,2,NA,2,NA,NA,2
cell_247,4,NA,0,4,NA,NA,NA,2
cell_248,4,12,NA,4,2,NA,NA,2
cell_249,4,12,3,4,5,NA,NA,NA
cell_250,4,12,0,NA,5,NA,NA,0
cell_251,4,12,NA,NA,5,NA,NA,0
cell_252,4,12,0,4,5,NA,NA,0
cell_253,4,12,NA,4,5,NA,NA,0
cell_254,4,12,0,4,5,NA,NA,NA
cell_255,4,12,0,4,5,NA,NA,0
cell_256,4,12,0,4,NA,NA,NA,12
cell_257,4,12,0,4,12,NA,2,NA
cell_258,NA,12,0,4,NA,3,2,2
cell_259,4,12,11,4,12,3,2,2
cell_260,NA,12,11,4,12,3,2,2
cell_261,4,12,NA,NA,12,3,2,2
cell_262,4,12,0,NA,12,3,NA,2
cell_263,NA,12,2,NA,12,3,2,2
cell_264,4,12,0,4,12,3,NA,2
cell_265,NA,12,5,4,12,3,2,2
cell_266,4,NA,NA,4,12,3,2,2
cell_267,NA,12,5,NA,12,NA,2,2
cell_268,4,12,5,NA,NA,3,NA,2
cell_269,NA,12,NA,4,12,NA,2,NA
cell_270,4,NA,2,4,12,3,2,2
cell_271,4,12,4,4,12,3,2,2
cell_272,4,12,0,4,12,NA,2,2
cell_273,NA,12,NA,4,12,3,2,2
cell_274,NA,12,2,4,12,3,2,2
cell_275,2,12,NA,4,12,3,2,2
cell_276,2,NA,2,4,NA,3,2,2
cell_277,2,12,2,4,12,3,2,2
cell_278,2,NA,0,4,12,3,2,NA
cell_279,NA,12,NA,NA,12,3,NA,2
cell_280,2,12,3,NA,12,3,2,2
cell_281,2,12,51,NA,12,3,NA,2
cell_282,2,NA,51,4,NA,3,2,2
cell_283,2,12,NA,4,NA,3,2,2
cell_284,2,NA,51,4,12,3,NA,2
cell_285,2,12,51,4,12,3,2,2
cell_286,2,12,NA,NA,12,NA,2,2
cell_287,2,12,NA,NA,12,NA,2,2
cell_288,2,12,NA,4,12,3,2,2
cell_289,2,12,3,4,NA,3,2,2
cell_290,2,NA,3,NA,12,NA,2,2
cell_291,2,12,3,4,12,3,2,2
cell_292,2,12,3,4,12,3,2,2
cell_293,5,NA,3,4,12,3,2,2
cell_294,NA,12,3,4,NA,3,2,NA
cell_295,0,12,3,NA,12,3,2,2
cell_296,NA,12,3,4,12,3,NA,2
cell_297,2,12,NA,4,12,3,NA,2
cell_298,2,12,3,4,NA,3,NA,2
cell_299,NA,NA,3,4,12,3,2,2
cell_300,2,12,3,4,NA,NA,2,NA
cell_301,NA,NA,3,4,12,3,NA,2
cell_302,NA,12,NA,NA,12,NA,2,2
cell_303,0,NA,3,NA,12,3,2,2
cell_304,0,12,3,4,12,3,NA,2
cell_305,0,12,0,4,12,3,2,NA
cell_306,0,12,0,4,12,3,2,2
cell_307,2,12,5,4,12,3,2,2
cell_308,2,12,5,4,12,3,2,2
cell_309,2,12,0,NA,12,3,2,2
cell_310,2,12,0,4,NA,NA,2,NA
cell_311,0,12,0,4,12,3,2,NA
cell_312,0,12,0,4,12,3,2,NA
cell_313,2,12,3,4,NA,3,NA,NA
cell_314,2,NA,3,4,NA,3,2,NA
cell_315,NA,12,NA,4,12,NA,2,2
cell_316,0,12,3,4,12,3,2,2
cell_317,NA,12,3,4,12,3,2,2
cell_318,0,12,3,4,12,3,NA,2
cell_319,0,12,NA,4,12,3,2,2
cell_320,0,12,NA,4,12,3,2,NA
cell_321,0,12,4,4,NA,3,9,2
cell_322,0,12,4,4,5,3,NA,2
cell_323,0,NA,4,4,5,NA,9,2
cell_324,5,12,4,4,NA,3,NA,2
cell_325,0,NA,4,4,5,3,NA,2
cell_326,0,NA,4,4,NA,3,9,2
cell_327,0,12,4,4,5,3,9,2
cell_328,0,NA,4,4,5,3,NA,NA
cell_329,3,12,4,4,5,3,NA,NA
cell_330,3,NA,4,4,NA,3,9,2
cell_331,NA,12,4,4,NA,3,NA,2
cell_332,NA,12,4,4,5,3,9,2
cell_333,3,12,4,4,NA,3,9,NA
cell_334,3,12,4,4,5,3,9,NA
cell_335,3,12,NA,4,NA,3,9,2
cell_336,3,NA,4,NA,5,3,NA,2
cell_337,0,NA,0,4,5,3,9,NA
cell_338,0,12,2,NA,NA,3,9,NA
cell_339,2,12,NA,4,NA,NA,9,2
cell_340,0,12,0,4,5,3,9,2
cell_341,0,NA,5,4,5,3,9,2
cell_342,0,12,5,4,5,3,9,2
cell_343,2,12,5,4,5,3,9,2
cell_344,2,12,5,4,NA,3,9,2
cell_345,3,12,0,4,5,NA,9,2
cell_346,NA,12,0,4,5,3,9,NA
cell_347,0,12,0,4,5,NA,9,NA
cell_348,0,12,0,4,5,3,9,2
cell_349,0,NA,5,4,5,3,9,2
cell_350,0,12,5,NA,5,3,9,NA
cell_351,NA,12,5,4,5,NA,9,2
cell_352,0,12,5,4,5,3,9,2
cell_353,2,12,9,4,4,NA,NA,2
cell_354,2,12,9,NA,NA,3,NA,2
cell_355,2,12,9,4,NA,NA,0,NA
cell_356,2,NA,9,4,0,NA,0,2
cell_357,2,12,NA,NA,NA,3,0,2
cell_358,2,12,9,4,0,NA,2,2
cell_359,5,12,9,NA,NA,NA,0,2
cell_360,5,12,9,4,0,3,0,2
cell_361,5,12,9,4,2,3,0,2
cell_362,5,12,9,4,4,3,NA,2
cell_363,5,12,9,4,0,3,0,2
cell_364,NA,12,9,4,0,3,0,2
cell_365,5,12,9,4,0,3,108,NA
cell_366,5,12,9,4,2,3,108,NA
cell_367,5,12,9,4,0,3,108,NA
cell_368,5,12,NA,4,0,3,NA,2
cell_369,3,NA,9,NA,5,NA,0,2
cell_370,3,12,9,4,0,3,56,2
cell_371,3,12,NA,4,NA,NA,NA,NA
cell_372,NA,12,NA,NA,NA,NA,NA,2
cell_373,3,12,9,4,2,3,2,2
cell_374,NA,12,9,4,2,NA,2,2
cell_375,3,12,9,4,0,3,0,2
cell_376,3,12,9,4,0,3,0,2
cell_377,3,12,9,4,2,3,NA,2
cell_378,3,12,9,4,0,3,5,2
cell_379,3,12,9,4,2,3,0,2
cell_380,3,12,9,4,5,NA,NA,NA
cell_381,3,12,9,4,0,3,2,2
cell_382,NA,12,9,NA,NA,NA,2,2
cell_383,3,NA,9,4,0,3,NA,2
cell_384,NA,12,9,4,NA,3,NA,2
cell_385,0,12,0,4,5,3,2,2
cell_386,NA,NA,0,4,5,3,NA,2
cell_387,NA,12,2,NA,5,3,0,NA
cell_388,0,12,2,4,5,3,0,2
cell_389,5,12,0,4,NA,NA,0,2
cell_390,2,NA,NA,4,5,3,0,2
cell_391,0,NA,0,NA,5,3,0,2
cell_392,0,12,0,4,5,3,3,NA
cell_393,0,12,2,4,NA,3,5,2
cell_394,0,12,NA,NA,5,3,NA,2
cell_395,0,12,2,NA,5,3,NA,2
cell_396,NA,12,2,4,5,3,5,2
cell_397,0,12,2,4,5,3,5,2
cell_398,0,12,2,4,5,3,5,2
cell_399,2,12,NA,4,5,NA,5,2
cell_400,NA,12,2,4,5,3,5,2
cell_401,2,12,0,NA,NA,3,NA,2
cell_402,2,12,NA,4,5,3,0,2
cell_403,0,NA,0,4,5,NA,0,2
cell_404,0,NA,NA,4,NA,3,0,NA
cell_405,0,12,0,NA,5,3,0,2
cell_406,0,NA,0,4,5,NA,0,2
cell_407,2,12,NA,4,5,3,0,2
cell_408,2,NA,0,4,NA,NA,NA,2
cell_409,0,12,0,4,NA,NA,NA,NA
cell_410,0,12,2,4,NA,3,2,2
cell_411,0,12,2,4,5,3,2,2
cell_412,NA,12,2,NA,5,3,2,2
cell_413,0,NA,0,NA,5,NA,3,2
cell_414,0,NA,NA,4,5,3,3,NA
cell_415,2,12,3,4,5,NA,0,2
cell_416,2,12,3,4,5,3,0,2
cell_417,NA,12,0,NA,0,3,3,NA
cell_418,0,12,0,4,10,3,0,2
cell_419,0,NA,NA,4,0,3,0,2
cell_420,2,12,0,4,0,3,0,2
cell_421,2,12,2,4,2,3,0,2
cell_422,2,NA,2,NA,0,3,NA,2
cell_423,0,NA,2,4,0,3,NA,2
cell_424,0,12,2,NA,0,3,0,2
cell_425,4,12,2,4,0,3,0,2
cell_426,4,12,2,NA,0,3,NA,2
cell_427,4,12,2,NA,64,NA,NA,2
cell_428,4,12,NA,4,64,3,0,NA
cell_429,NA,12,2,4,2,NA,NA,2
cell_430,0,12,2,4,2,3,NA,2
cell_431,NA,12,2,4,NA,3,5,2
cell_432,2,12,2,4,0,3,5,2
cell_433,42,12,2,4,NA,3,50,2
cell_434,42,12,2,4,NA,3,NA,2
cell_435,42,12,2,4,7,3,0,2
cell_436,42,12,NA,4,7,3,0,2
cell_437,5,NA,NA,4,7,NA,0,NA
cell_438,NA,12,2,4,7,NA,0,2
cell_439,5,12,2,4,7,3,5,2
cell_440,5,12,2,4,7,3,5,NA
cell_441,0,12,2,NA,8,3,0,2
cell_442,0,12,2,4,NA,3,0,2
cell_443,0,NA,NA,4,0,3,0,2
cell_444,5,12,2,4,0,3,0,NA
cell_445,4,12,NA,4,0,3,NA,2
cell_446,4,NA,2,4,0,3,NA,2
cell_447,0,12,2,4,0,3,3,2
cell_448,2,NA,2,4,NA,3,3,2
cell_449,0,12,5,4,2,3,2,2
cell_450,2,12,5,4,2,3,2,2
cell_451,7,12,5,4,2,3,NA,NA
cell_452,7,12,NA,4,2,NA,2,2
cell_453,3,12,5,4,2,3,2,NA
cell_454,3,12,5,4,2,3,2,2
cell_455,0,12,5,4,2,3,2,2
cell_456,0,12,NA,4,2,3,2,NA
cell_457,2,12,5,NA,2,3,NA,2
cell_458,2,12,NA,4,NA,3,0,2
cell_459,NA,NA,5,4,2,3,2,2
cell_460,2,12,5,4,2,3,0,NA
cell_461,NA,12,5,4,NA,3,0,2
cell_462,2,12,5,4,2,NA,NA,NA
cell_463,NA,12,5,4,2,3,NA,2
cell_464,0,12,NA,4,2,3,0,2
cell_465,2,12,5,NA,NA,3,0,2
cell_466,2,12,NA,4,42,3,NA,2
cell_467,2,NA,NA,NA,42,3,0,2
cell_468,2,12,5,4,NA,3,0,NA
cell_469,NA,12,5,4,42,3,3,2
cell_470,2,NA,5,NA,42,3,NA,2
cell_471,2,12,5,4,42,3,NA,2
cell_472,2,12,5,NA,NA,3,3,2
cell_473,NA,12,5,4,2,NA,2,2
cell_474,2,NA,5,4,2,3,2,2
cell_475,2,12,5,4,NA,NA,NA,2
cell_476,2,12,5,4,2,3,0,2
cell_477,2,12,5,4,NA,3,NA,2
cell_478,NA,12,5,4,NA,3,5,2
cell_479,2,12,5,NA,2,3,0,2
cell_480,2,12,5,4,2,3,NA,2
cell_481,0,12,NA,4,2,3,5,2
cell_482,NA,12,5,4,2,3,5,2
cell_483,NA,12,5,4,2,3,5,2
cell_484,0,12,5,NA,2,NA,5,NA
cell_485,0,NA,5,NA,0,3,5,2
cell_486,NA,12,5,4,0,3,NA,2
cell_487,2,NA,5,NA,0,3,5,2
cell_488,0,NA,5,4,NA,NA,5,2
cell_489,2,NA,5,NA,0,3,5,2
cell_490,2,12,5,NA,NA,NA,5,2
cell_491,NA,12,5,NA,2,3,5,2
cell_492,NA,12,5,4,2,3,5,2
cell_493,0,12,NA,4,12,3,5,2
cell_494,0,12,5,4,NA,3,5,2
cell_495,0,12,5,4,0,NA,5,2
cell_496,2,12,5,4,0,3,NA,2
cell_497,3,12,5,4,2,3,5,NA
cell_498,NA,NA,5,NA,2,3,NA,2
cell_499,NA,12,NA,4,NA,NA,5,2
cell_500,NA,12,5,4,2,3,5,2
cell_501,3,12,5,4,2,3,5,2
cell_502,3,12,5,4,2,NA,5,2
cell_503,NA,NA,5,4,2,NA,5,2
cell_504,3,NA,5,4,2,3,5,NA
cell_505,0,12,5,4,NA,NA,NA,2
cell_506,0,NA,5,4,2,NA,5,2
cell_507,2,12,5,4,2,3,5,2
cell_508,NA,12,5,NA,2,3,5,2
cell_509,0,12,NA,4,2,NA,5,2
cell_510,NA,12,5,NA,2,3,NA,2
cell_511,5,12,5,4,2,3,NA,NA
cell_512,5,12,5,4,2,3,5,NA
cell_513,2,4,2,2,2,5,NA,5
cell_514,NA,4,2,2,2,NA,5,NA
cell_515,2,4,2,2,2,5,5,NA
cell_516,2,4,2,NA,2,5,5,5
cell_517,2,4,2,2,2,5,5,5
cell_518,2,4,2,NA,2,5,5,NA
cell_519,2,NA,2,2,2,5,5,5
cell_520,2,4,NA,2,2,5,5,5
cell_521,2,4,2,2,2,NA,0,NA
cell_522,2,NA,2,2,2,5,0,5
cell_523,2,NA,2,NA,2,5,NA,NA
cell_524,2,4,2,NA,2,5,2,NA
cell_525,NA,4,2,NA,2,5,0,5
cell_526,2,4,2,2,2,5,2,5
cell_527,2,4,2,2,2,5,NA,NA
cell_528,NA,4,2,2,2,5,NA,NA
cell_529,2,4,2,NA,2,5,3,5
cell_530,2,NA,2,2,2,5,3,5
cell_531,2,NA,2,2,NA,5,2,5
cell_532,2,4,2,2,2,5,2,5
cell_533,2,4,2,2,2,5,NA,5
cell_534,2,4,NA,2,2,NA,0,5
cell_535,NA,4,NA,2,2,5,4,5
cell_536,2,4,2,2,2,5,4,5
cell_537,NA,4,2,2,2,5,3,5
cell_538,2,4,NA,NA,2,5,3,NA
cell_539,2,NA,2,2,2,5,0,5
cell_540,2,4,2,2,2,5,0,5
cell_541,NA,NA,2,2,2,NA,5,5
cell_542,2,4,NA,2,NA,5,5,5
cell_543,2,4,2,2,NA,NA,5,5
cell_544,2,4,2,NA,2,5,5,NA
cell_545,8,NA,NA,NA,2,5,2,NA
cell_546,8,NA,2,2,2,5,NA,5
cell_547,8,4,NA,2,NA,5,0,5
cell_548,NA,4,2,2,2,5,0,5
cell_549,8,4,2,NA,NA,5,0,5
cell_550,8,4,2,2,NA,5,0,5
cell_551,8,NA,2,2,NA,5,0,NA
cell_552,8,4,NA,2,2,5,3,5
cell_553,8,4,2,2,2,5,12,5
cell_554,8,4,2,2,2,5,12,5
cell_555,8,NA,2,2,2,5,0,5
cell_556,8,NA,NA,NA,2,5,NA,5
cell_557,NA,4,2,2,2,5,5,5
cell_558,8,NA,2,2,2,5,NA,5
cell_559,8,NA,2,2,NA,NA,2,5
cell_560,8,4,2,2,2,5,2,5
cell_561,0,4,NA,2,2,5,2,5
cell_562,0,4,2,2,NA,5,2,NA
cell_563,0,4,2,2,2,5,2,NA
cell_564,0,4,2,2,NA,5,2,5
cell_565,0,4,2,2,NA,5,2,5
cell_566,0,NA,2,NA,2,5,2,5
cell_567,NA,NA,2,2,NA,5,2,5
cell_568,NA,NA,NA,2,2,5,2,5
cell_569,0,4,2,2,2,NA,2,5
cell_570,0,4,2,2,2,NA,2,5
cell_571,0,4,2,2,2,NA,2,5
cell_572,2,4,2,NA,2,5,NA,NA
cell_573,0,NA,2,2,2,5,2,5
cell_574,NA,NA,2,2,2,5,2,5
cell_575,11,4,NA,NA,2,5,NA,5
cell_576,NA,NA,2,2,2,5,2,5
cell_577,2,4,2,2,2,5,2,4
cell_578,NA,4,2,2,2,5,2,4
cell_579,2,NA,NA,NA,2,5,2,4
cell_580,2,4,NA,2,2,5,2,4
cell_581,2,NA,2,NA,2,5,2,4
cell_582,NA,NA,2,2,2,NA,2,4
cell_583,2,4,NA,NA,2,5,2,NA
cell_584,2,NA,2,2,NA,5,2,4
cell_585,2,NA,2,NA,2,5,2,4
cell_586,2,4,2,2,2,5,2,4
cell_587,2,4,2,NA,2,NA,2,4
cell_588,2,4,2,2,2,5,NA,4
cell_589,2,NA,2,2,NA,5,2,4
cell_590,2,4,2,2,2,NA,2,4
cell_591,2,NA,2,2,2,5,2,4
cell_592,2,4,2,2,2,NA,2,4
cell_593,NA,4,2,2,2,5,2,4
cell_594,2,4,2,NA,2,5,2,4
cell_595,2,4,2,2,2,5,2,4
cell_596,2,4,2,2,2,5,2,4
cell_597,2,4,2,2,2,5,2,4
