cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_157	2	-	2	3	2	2	64	-	2	3	5	5
cell_158	2	-	-	3	-	2	64	3	2	3	-	5
cell_159	2	-	-	3	2	2	64	3	2	3	-	-
cell_160	2	-	-	-	2	2	64	-	2	3	5	5
cell_161	2	2	2	-	27	2	5	3	2	3	5	5
cell_162	2	2	2	3	27	2	-	-	2	3	5	5
cell_163	2	2	2	3	27	-	5	3	2	3	5	5
cell_164	2	2	2	3	-	-	5	3	2	3	-	-
cell_165	-	2	2	3	0	2	5	3	2	3	5	5
cell_166	2	2	2	3	2	2	5	3	2	3	-	5
cell_167	2	2	2	3	0	-	-	3	2	3	5	-
cell_168	2	-	2	3	0	-	5	-	2	-	5	5
cell_169	2	-	2	3	7	2	5	3	2	-	5	5
cell_170	2	2	2	3	7	2	5	3	2	3	-	5
cell_171	2	2	2	3	-	2	5	3	2	3	5	-
cell_172	-	2	2	3	59	-	5	3	2	-	5	-
cell_173	2	2	2	-	2	2	5	3	-	3	5	5
cell_174	2	2	2	3	-	2	5	3	2	3	5	5
cell_175	2	-	2	3	0	-	5	3	2	3	5	5
cell_176	-	2	2	3	-	2	5	3	2	3	5	5
cell_177	2	-	2	3	2	-	5	3	-	3	-	5
cell_178	2	2	2	-	2	2	5	3	2	-	5	5
cell_179	2	2	2	3	-	2	5	3	2	3	5	5
cell_180	2	2	2	3	2	2	-	3	2	3	5	5
cell_181	2	2	2	3	2	2	-	3	2	-	5	5
cell_182	2	2	2	3	0	2	5	-	2	-	5	5
cell_183	2	2	2	-	0	2	5	3	2	3	5	5
cell_184	2	2	2	3	2	2	-	3	2	3	5	5
cell_185	2	2	2	3	2	2	-	-	-	3	5	5
cell_186	2	2	2	3	2	-	-	3	-	3	5	5
cell_187	2	-	-	3	2	-	5	3	-	3	5	5
cell_188	2	2	2	-	2	2	5	3	-	-	5	5
cell_189	2	2	2	3	5	2	5	3	2	3	5	5
cell_190	2	2	2	3	0	2	5	-	2	3	5	-
cell_191	2	2	2	-	0	2	5	3	2	-	5	5
cell_192	-	2	2	3	-	-	5	3	2	3	5	5
cell_193	2	-	2	0	-	2	2	3	2	3	5	5
cell_194	-	2	2	4	2	2	2	3	2	3	5	5
cell_195	2	2	2	0	2	0	2	3	-	3	5	-
cell_196	2	2	2	0	-	0	2	3	2	3	5	5
cell_197	2	2	2	2	-	0	-	3	2	3	5	5
