cell_id	S1	S2	S3	S4	S5	S6	S7	S8
cell_591	-	-	2	-	2	-	0	5
cell_592	0	12	2	2	2	2	0	5
cell_593	-	12	-	0	2	0	-	5
cell_594	2	12	2	0	-	0	0	-
cell_595	2	12	2	4	2	-	0	5
cell_596	2	12	2	4	2	8	-	-
cell_597	2	12	2	-	2	-	2	5
cell_598	2	-	2	0	2	2	2	5
cell_599	2	12	-	0	2	2	0	5
cell_600	2	12	2	0	-	2	0	5
cell_601	2	-	-	5	2	0	2	5
cell_602	2	12	2	5	2	0	-	5
cell_603	2	12	2	0	-	0	0	5
cell_604	2	12	2	27	2	0	0	5
cell_605	2	12	2	0	2	-	2	5
cell_606	2	12	-	0	2	0	-	5
cell_607	2	12	2	0	2	-	2	5
cell_608	2	12	2	0	2	-	2	-
cell_609	0	-	2	2	2	2	0	-
cell_610	0	-	2	2	2	-	0	0
cell_611	0	-	2	2	2	14	9	2
cell_612	2	2	2	2	2	0	9	0
cell_613	0	2	2	2	-	-	2	2
cell_614	-	2	2	2	-	0	2	-
cell_615	0	2	2	2	2	-	0	3
cell_616	3	2	2	2	2	2	0	0
cell_617	0	-	2	2	2	0	-	2
cell_618	-	3	2	2	2	-	2	-
cell_619	-	0	2	-	2	0	0	2
cell_620	0	0	2	2	2	2	0	-
cell_621	0	0	2	2	2	2	-	2
cell_622	0	-	2	2	-	2	4	2
cell_623	5	0	2	-	2	-	2	2
cell_624	0	0	2	-	2	29	2	2
cell_625	2	2	2	2	2	2	-	3
cell_626	-	2	2	2	2	2	-	3
cell_627	-	2	2	2	-	-	-	0
cell_628	2	2	-	2	2	-	5	0
cell_629	2	2	2	2	2	2	5	2
cell_630	2	2	2	2	2	2	-	2
cell_631	2	2	-	2	2	2	5	2
cell_632	2	2	2	-	-	2	5	0
cell_633	5	2	2	2	-	2	0	0
cell_634	-	-	-	2	2	-	-	0
cell_635	-	2	2	2	2	2	2	0
cell_636	-	2	2	2	2	-	2	-
cell_637	15	-	2	2	2	2	0	0
cell_638	0	2	-	2	2	2	0	0
cell_639	-	2	2	-	-	-	0	2
cell_640	0	2	-	2	2	-	0	0
cell_641	-	30	2	5	2	2	5	2
cell_642	2	30	2	5	2	2	5	2
cell_643	2	-	2	5	-	2	5	2
cell_644	2	30	2	5	2	2	5	-
cell_645	2	-	2	5	2	2	5	-
cell_646	2	30	2	5	2	2	5	2
cell_647	2	30	2	5	-	-	5	2
cell_648	2	30	-	5	2	0	-	-
cell_649	2	30	2	-	2	2	5	2
cell_650	2	30	2	-	2	2	5	2
cell_651	2	30	2	5	-	2	5	2
cell_652	2	30	2	5	-	-	5	2
cell_653	-	30	2	5	2	-	-	2
cell_654	2	30	2	5	2	0	5	2
cell_655	-	30	2	5	2	2	-	2
cell_656	2	30	2	5	2	2	-	2
cell_657	2	-	2	5	-	2	5	2
cell_658	2	-	2	5	-	0	5	2
cell_659	2	30	2	5	2	0	5	2
cell_660	2	-	-	5	2	0	5	2
cell_661	2	30	2	5	2	0	5	-
cell_662	2	30	2	5	2	-	5	2
