cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_165	2	2	0	4	0	0	-	2	2	4	2	4
cell_166	2	-	-	4	0	-	0	2	-	4	-	4
cell_167	2	2	0	4	0	-	0	-	2	4	2	4
cell_168	2	2	0	4	0	0	-	2	2	4	2	-
cell_169	2	2	-	-	-	5	2	2	2	4	2	-
cell_170	-	2	-	-	-	5	2	-	2	4	2	4
cell_171	2	2	-	-	-	0	2	2	2	4	2	4
cell_172	-	2	-	-	-	0	-	2	2	-	2	4
cell_173	2	-	-	-	-	0	2	2	2	4	2	4
cell_174	2	2	-	-	-	0	-	2	2	4	2	4
cell_175	2	2	-	-	-	0	2	2	-	-	2	4
cell_176	2	-	-	-	-	0	2	2	2	-	-	4
cell_177	-	-	2	4	4	-	2	2	2	4	2	4
cell_178	2	2	2	-	-	-	2	2	2	4	2	-
cell_179	2	2	2	4	2	3	2	2	2	-	2	4
cell_180	2	2	2	4	0	3	0	2	2	4	-	-
cell_181	2	2	0	-	0	0	-	2	2	4	2	4
cell_182	2	-	0	4	-	5	-	2	2	4	2	4
cell_183	2	2	0	-	2	-	-	2	2	4	-	-
cell_184	2	-	0	4	2	0	0	-	2	4	-	4
cell_185	2	2	3	-	5	2	0	-	2	4	2	-
cell_186	2	2	3	4	5	-	-	2	-	4	2	-
cell_187	2	2	3	4	5	-	0	2	2	4	2	4
cell_188	2	2	0	4	-	2	0	2	2	4	2	4
cell_189	2	2	3	4	-	2	2	2	2	4	-	-
cell_190	-	2	3	4	0	2	2	-	2	4	2	4
cell_191	2	2	0	4	0	2	0	2	-	4	2	4
cell_192	2	-	0	4	-	-	2	2	2	4	2	4
cell_193	2	2	3	4	2	3	-	2	2	4	19	4
cell_194	2	2	3	4	2	3	-	2	-	4	19	-
cell_195	2	-	3	4	-	3	2	2	2	4	-	4
cell_196	2	-	-	4	2	-	2	2	2	4	19	-
cell_197	2	2	10	4	2	3	2	-	2	4	19	4
cell_198	2	2	0	-	2	-	2	2	2	4	19	4
cell_199	2	-	0	4	2	3	2	-	2	-	19	4
cell_200	2	2	2	4	2	-	2	2	2	-	19	4
cell_201	5	2	2	4	2	3	2	2	2	4	-	-
cell_202	5	-	2	4	2	3	2	2	2	-	-	4
cell_203	5	2	2	4	2	3	2	2	2	-	19	-
cell_204	5	-	2	4	-	3	2	-	2	4	19	4
cell_205	2	2	2	-	2	3	2	2	-	4	-	4
cell_206	-	2	2	4	2	3	2	-	2	4	-	4
cell_207	-	2	2	4	2	3	-	2	-	4	19	4
cell_208	2	2	-	-	2	3	2	2	2	4	19	4
cell_209	0	2	-	4	2	2	2	2	2	4	19	4
cell_210	-	2	0	4	2	0	2	-	2	-	19	4
cell_211	0	-	5	4	2	0	2	-	-	4	19	-
cell_212	3	2	5	4	2	0	2	-	-	4	19	4
cell_213	28	2	0	-	-	5	2	2	2	4	19	4
cell_214	-	2	0	4	-	5	2	2	2	4	19	4
cell_215	-	2	2	4	-	0	2	2	-	4	19	4
cell_216	28	-	2	-	2	0	2	-	2	4	19	4
cell_217	-	2	6	4	2	13	2	2	2	4	19	4
cell_218	-	2	-	-	2	13	2	2	2	4	19	4
cell_219	5	2	6	4	2	4	2	2	2	-	19	-
cell_220	-	-	6	-	2	-	2	-	2	4	19	4
cell_221	0	2	5	4	2	2	-	2	2	4	19	4
cell_222	3	-	5	4	2	2	-	2	2	4	19	4
cell_223	2	2	5	4	-	2	-	2	-	4	19	4
cell_224	2	-	5	4	2	2	2	2	2	4	19	4
cell_225	26	2	3	4	2	5	2	2	2	4	19	4
cell_226	-	-	-	-	-	5	2	2	-	4	19	4
cell_227	26	2	3	4	2	5	2	2	2	4	19	4
cell_228	26	2	-	4	2	-	2	2	-	-	19	-
cell_229	26	2	2	4	2	5	2	2	-	4	19	4
cell_230	26	2	-	4	-	5	2	2	-	4	19	4
cell_231	26	2	0	4	-	5	2	-	-	-	-	4
cell_232	26	2	0	4	-	5	2	2	2	-	-	4
cell_233	-	2	4	4	2	5	2	2	2	4	19	4
cell_234	26	2	4	4	2	5	2	2	2	-	19	4
cell_235	26	2	-	-	2	5	2	2	-	4	-	4
cell_236	-	2	-	4	2	5	2	-	-	4	19	4
cell_237	26	2	4	-	2	5	2	-	2	-	19	-
cell_238	-	2	4	4	-	5	2	2	2	4	-	4
