,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_323,NA,NA,NA,3,5,4,0,NA,2,2,2,3
cell_324,8,0,2,3,5,0,0,2,2,2,2,NA
cell_325,NA,0,NA,3,NA,0,0,2,2,2,NA,NA
cell_326,NA,0,NA,3,5,NA,0,2,2,NA,2,3
cell_327,NA,0,2,3,NA,0,NA,2,NA,2,2,3
cell_328,16,0,2,NA,5,0,NA,2,NA,2,NA,3
cell_329,NA,5,NA,3,NA,0,0,2,NA,NA,NA,NA
cell_330,6,0,2,3,5,0,0,2,NA,2,NA,3
cell_331,NA,0,NA,3,NA,NA,NA,2,2,NA,2,NA
cell_332,NA,0,2,NA,NA,0,0,2,2,2,2,NA
cell_333,NA,NA,2,3,5,0,NA,2,NA,2,2,3
cell_334,NA,NA,NA,3,5,0,NA,2,2,2,2,3
cell_335,NA,2,2,NA,5,0,0,NA,NA,2,2,3
cell_336,19,2,NA,NA,5,NA,0,2,2,2,2,3
cell_337,0,0,2,NA,5,NA,2,NA,NA,NA,NA,3
cell_338,0,0,2,NA,NA,0,2,NA,2,2,2,3
cell_339,NA,0,2,0,5,5,2,2,2,2,NA,NA
cell_340,NA,NA,NA,0,NA,5,2,NA,2,2,2,3
cell_341,3,NA,2,0,NA,2,NA,2,2,2,2,3
cell_342,3,0,NA,NA,5,NA,2,2,NA,NA,NA,3
cell_343,0,NA,NA,NA,5,NA,NA,NA,2,2,NA,3
cell_344,0,2,2,2,5,2,2,2,2,2,NA,3
cell_345,NA,0,2,2,5,12,NA,2,2,2,2,3
cell_346,0,NA,2,NA,5,NA,0,NA,NA,2,NA,3
cell_347,NA,0,NA,0,NA,NA,NA,2,2,NA,2,3
cell_348,0,0,2,0,5,0,0,2,2,2,2,3
cell_349,3,NA,NA,NA,5,0,0,NA,NA,2,2,3
cell_350,3,67,2,0,5,0,0,2,2,2,2,3
cell_351,8,NA,NA,0,5,2,0,NA,NA,2,2,3
cell_352,8,NA,2,NA,NA,0,0,2,2,NA,NA,3
cell_353,2,NA,NA,NA,NA,NA,NA,2,2,2,2,NA
cell_354,2,0,0,3,NA,NA,0,2,2,NA,2,3
cell_355,NA,0,2,0,5,0,NA,2,NA,NA,2,3
cell_356,2,0,2,NA,5,0,NA,2,2,2,2,3
cell_357,0,0,0,NA,5,0,NA,2,2,2,2,NA
cell_358,NA,NA,NA,0,5,0,0,2,NA,2,NA,3
cell_359,0,0,0,NA,5,2,0,2,2,2,2,3
cell_360,0,0,NA,NA,5,NA,0,2,NA,2,2,3
cell_361,0,2,NA,NA,NA,0,2,2,2,NA,2,NA
cell_362,0,NA,NA,2,NA,0,0,2,2,2,2,3
cell_363,3,NA,0,NA,NA,NA,NA,2,2,2,2,3
cell_364,NA,0,NA,0,5,NA,0,2,2,2,2,3
cell_365,2,0,NA,5,5,NA,NA,2,2,2,2,NA
cell_366,0,0,0,5,5,2,0,NA,2,2,NA,3
cell_367,0,0,0,NA,NA,2,0,2,NA,2,NA,NA
cell_368,0,NA,0,NA,NA,2,0,2,2,2,2,3
