,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_297,0,NA,2,3,NA,2,NA,2,0,4,0,NA
cell_298,0,NA,2,NA,2,2,NA,2,0,4,0,NA
cell_299,2,2,2,3,NA,2,69,NA,0,4,3,0
cell_300,2,2,NA,3,2,2,69,2,NA,4,3,0
cell_301,NA,NA,3,3,NA,2,69,NA,11,4,0,2
cell_302,2,2,3,3,2,2,69,2,11,4,0,2
cell_303,NA,2,0,3,2,NA,69,2,11,4,0,2
cell_304,2,2,0,3,2,2,69,2,11,4,0,2
cell_305,0,2,0,3,2,2,69,3,0,4,0,NA
cell_306,0,2,0,3,2,2,69,NA,0,NA,0,NA
cell_307,0,2,2,3,2,2,69,3,NA,NA,0,5
cell_308,0,2,2,3,2,2,69,3,3,4,3,5
cell_309,20,NA,2,NA,2,2,69,NA,2,4,0,NA
cell_310,20,2,0,3,2,NA,NA,0,2,4,0,5
cell_311,20,2,0,3,2,2,69,0,2,4,12,5
cell_312,20,2,NA,3,2,NA,69,0,2,4,12,NA
cell_313,0,2,2,3,2,2,NA,3,3,4,8,5
cell_314,2,NA,NA,3,2,2,69,NA,3,4,8,5
cell_315,0,NA,2,3,2,2,69,NA,NA,NA,8,5
cell_316,NA,2,NA,3,NA,2,69,2,3,4,8,5
cell_317,2,NA,NA,3,2,2,NA,0,0,NA,NA,NA
cell_318,0,2,9,3,2,2,69,0,0,4,8,4
cell_319,0,2,NA,3,2,2,69,NA,0,4,NA,4
cell_320,2,NA,0,3,2,2,69,2,3,4,NA,4
cell_321,3,5,2,3,21,2,5,NA,0,2,3,2
cell_322,3,5,2,3,21,NA,5,3,0,2,3,2
cell_323,3,10,5,3,21,2,NA,NA,0,2,5,0
cell_324,3,2,5,3,21,2,5,2,NA,2,0,0
cell_325,3,0,0,3,21,2,5,33,2,2,0,2
cell_326,3,0,3,3,21,2,5,2,2,NA,0,2
cell_327,NA,NA,0,3,21,2,5,0,5,2,NA,2
cell_328,3,2,0,NA,21,2,5,2,0,2,0,0
cell_329,3,2,0,3,0,2,0,2,0,2,NA,NA
cell_330,3,2,0,3,0,2,0,NA,0,2,0,10
cell_331,3,5,2,3,NA,2,3,2,0,2,NA,0
cell_332,3,2,2,3,0,2,3,2,0,NA,0,0
cell_333,3,0,0,NA,0,2,2,2,0,NA,0,2
cell_334,3,3,0,3,0,2,2,0,0,2,0,NA
cell_335,NA,0,2,3,0,2,2,NA,NA,NA,0,2
cell_336,NA,NA,0,NA,3,2,2,2,0,2,5,2
cell_337,3,0,2,3,5,2,NA,NA,0,2,NA,2
cell_338,NA,0,NA,3,5,NA,2,2,2,NA,5,NA
cell_339,NA,NA,2,3,0,2,2,2,2,2,5,2
cell_340,3,0,2,3,53,2,2,2,0,2,NA,2
cell_341,3,12,0,3,NA,2,2,2,0,2,5,NA
cell_342,3,12,NA,3,0,2,2,2,NA,2,5,NA
cell_343,3,12,NA,3,0,2,2,2,0,2,5,2
cell_344,3,12,0,NA,0,2,2,2,0,NA,5,2
cell_345,NA,NA,2,3,0,2,2,NA,19,2,5,2
cell_346,NA,2,2,NA,NA,2,2,2,NA,2,5,2
cell_347,3,2,0,3,NA,2,2,2,19,2,5,NA
cell_348,NA,2,0,3,40,2,NA,2,19,NA,5,2
cell_349,3,15,5,NA,2,2,2,2,0,2,5,2
cell_350,3,15,0,3,2,NA,NA,2,NA,2,NA,2
cell_351,3,0,0,NA,2,NA,2,2,24,2,5,2
cell_352,3,0,8,3,2,2,2,2,24,2,5,2
cell_353,NA,2,16,3,2,NA,0,0,NA,2,0,0
cell_354,3,2,16,NA,2,2,0,0,0,NA,0,0
cell_355,3,NA,16,3,2,2,2,8,NA,2,NA,0
cell_356,NA,2,16,3,NA,NA,0,0,NA,2,5,0
cell_357,NA,2,16,NA,2,2,2,0,0,NA,NA,0
cell_358,3,NA,16,3,2,NA,2,0,0,2,3,0
cell_359,3,2,16,3,2,2,2,0,0,2,NA,8
cell_360,3,2,16,3,NA,2,2,0,NA,NA,NA,8
cell_361,3,NA,16,3,2,2,2,0,0,2,5,NA
cell_362,NA,7,16,NA,2,2,2,0,2,2,5,NA
cell_363,3,7,NA,3,2,2,2,2,NA,2,5,NA
cell_364,3,NA,16,3,2,2,NA,0,0,2,5,0
cell_365,NA,7,16,3,2,2,2,2,4,2,NA,0
cell_366,3,7,16,3,2,2,NA,2,NA,NA,2,NA
cell_367,3,NA,16,3,2,NA,0,0,3,2,NA,0
