cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_289,-,0,2,2,-,0,4,0,2,3,-,15
cell_290,2,-,0,2,0,0,4,-,2,3,2,15
cell_291,2,0,-,2,-,2,4,0,2,3,2,0
cell_292,-,-,0,2,-,2,4,0,2,-,-,-
cell_293,2,0,2,2,0,0,4,-,2,-,2,3
cell_294,2,0,0,2,2,0,-,0,2,3,2,3
cell_295,2,0,0,2,-,7,4,0,2,3,2,-
cell_296,-,0,0,2,-,-,4,0,2,3,2,3
cell_297,2,8,0,2,0,0,4,0,2,3,2,-
cell_298,2,5,0,2,0,0,4,0,2,3,2,0
cell_299,2,0,-,2,0,3,4,0,-,3,2,0
cell_300,2,0,0,2,0,3,4,0,2,3,-,0
cell_301,2,0,2,2,0,0,-,0,2,3,2,8
cell_302,-,0,-,2,0,0,-,0,2,3,2,8
cell_303,2,0,2,2,0,0,4,0,2,3,2,0
cell_304,2,0,2,2,0,0,-,0,2,-,2,-
cell_305,-,-,-,2,-,-,4,2,3,3,2,0
cell_306,-,0,0,-,-,-,4,-,3,-,2,-
cell_307,2,0,0,2,0,2,4,2,0,3,2,0
cell_308,2,0,0,2,0,2,4,-,0,3,2,0
cell_309,2,-,0,2,-,2,4,-,-,3,2,2
cell_310,2,0,2,2,5,2,4,2,-,-,2,-
cell_311,2,0,0,2,5,2,-,2,-,-,-,2
cell_312,2,0,0,-,5,2,4,2,0,3,-,-
cell_313,2,3,0,2,0,2,-,0,-,-,2,0
cell_314,2,3,0,2,0,2,-,0,-,3,2,0
cell_315,2,3,0,2,0,2,4,0,0,3,2,0
cell_316,2,-,-,-,-,2,4,0,0,3,2,0
cell_317,2,0,0,-,0,2,4,0,-,3,2,5
cell_318,-,0,0,-,0,2,4,0,-,3,2,5
cell_319,2,0,2,2,0,2,4,0,0,3,2,0
cell_320,2,-,0,-,0,2,-,0,0,3,2,0
cell_321,0,0,5,2,5,66,4,2,-,5,-,2
cell_322,0,2,5,-,5,66,-,2,0,5,2,2
cell_323,0,0,-,2,5,66,4,2,-,0,2,2
cell_324,0,0,-,2,5,-,4,2,0,0,2,2
cell_325,2,0,5,2,0,0,4,-,0,-,2,2
cell_326,2,-,5,-,-,0,-,2,0,0,2,2
cell_327,2,-,-,2,0,2,4,-,-,0,2,-
cell_328,2,0,-,2,0,4,4,-,0,0,-,2
