cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_244	0	0	5	0	0	2	0	0	2	11	2	0
cell_245	0	0	5	0	0	2	0	0	2	11	0	0
cell_246	0	0	5	0	0	2	0	0	2	11	0	0
cell_247	0	0	5	0	0	2	0	0	2	11	0	0
cell_248	0	3	5	0	0	2	0	0	2	11	0	0
cell_249	0	0	5	0	2	2	0	2	2	11	0	0
cell_250	0	0	5	0	0	2	0	2	2	11	0	0
cell_251	0	0	5	0	0	2	0	2	2	11	0	0
cell_252	3	0	5	0	0	2	0	2	2	11	0	0
cell_253	2	0	5	0	0	2	0	2	2	11	0	0
cell_254	2	0	5	0	0	2	0	2	2	11	0	0
cell_255	2	0	5	0	0	2	0	2	2	11	0	0
cell_256	2	0	5	0	0	2	0	2	2	11	0	0
cell_257	4	2	5	5	2	2	0	2	5	2	0	0
cell_258	4	2	5	5	2	2	0	2	5	2	0	0
cell_259	4	2	5	5	0	2	0	2	5	2	0	0
cell_260	4	2	5	5	0	2	0	2	5	2	0	0
cell_261	0	2	0	5	2	2	0	2	5	2	0	0
cell_262	0	2	4	5	0	2	0	2	5	2	0	0
cell_263	0	2	0	5	0	2	0	2	5	2	12	0
cell_264	0	2	0	5	0	2	0	2	5	2	0	0
cell_265	0	2	0	0	0	2	0	2	5	2	10	0
cell_266	0	2	3	0	0	2	0	2	5	2	0	0
cell_267	0	2	0	4	2	2	0	2	5	2	0	0
cell_268	2	2	0	4	2	2	0	2	5	2	0	0
cell_269	0	2	0	0	0	2	0	2	5	2	0	0
cell_270	0	2	0	0	0	2	0	2	5	2	0	0
cell_271	0	2	0	0	0	2	0	2	5	2	0	0
cell_272	0	2	0	0	0	2	0	2	5	2	0	0
cell_273	0	2	0	0	0	0	0	2	5	2	2	0
cell_274	0	2	0	0	0	0	2	2	5	2	2	0
cell_275	0	2	0	0	0	0	0	2	5	2	2	0
cell_276	0	2	0	0	0	0	0	2	5	2	2	0
cell_277	0	2	2	2	0	0	2	2	5	2	2	0
cell_278	0	2	0	2	4	0	0	2	5	2	2	0
cell_279	0	2	0	0	0	0	0	2	5	2	2	0
cell_280	0	2	0	0	25	0	0	2	5	2	2	2
cell_281	0	2	0	2	0	0	0	2	5	2	0	0
cell_282	0	2	6	2	0	0	0	2	5	2	0	0
cell_283	0	2	5	2	0	0	0	2	5	2	0	0
cell_284	0	2	5	2	0	0	0	2	5	2	0	0
cell_285	0	2	0	0	0	0	0	2	5	2	0	3
cell_286	0	2	0	0	0	0	0	2	5	2	0	3
cell_287	0	2	0	2	0	0	3	2	5	2	3	3
cell_288	0	2	0	2	0	0	0	2	5	2	0	3
cell_289	0	0	0	2	0	0	0	2	5	2	0	0
cell_290	0	0	0	2	0	0	0	2	5	2	0	0
cell_291	0	0	0	2	9	0	0	2	5	2	0	0
cell_292	0	0	0	2	0	0	0	2	5	2	0	0
cell_293	5	0	0	2	0	0	0	2	5	2	0	2
cell_294	13	0	0	2	0	0	0	2	5	2	0	2
cell_295	0	0	0	2	0	0	2	2	5	2	0	2
cell_296	0	0	0	2	0	0	2	2	5	2	0	2
cell_297	0	0	4	0	0	0	0	2	5	2	2	0
cell_298	0	0	4	0	0	0	0	2	5	2	2	0
cell_299	0	0	4	0	0	0	0	2	5	2	2	0
cell_300	0	0	4	0	0	0	0	2	5	2	2	0
cell_301	0	0	0	0	0	0	0	2	5	2	2	0
cell_302	0	0	0	0	0	0	0	2	5	2	2	0
cell_303	2	0	0	0	0	2	0	2	5	2	2	0
cell_304	3	0	0	0	0	2	0	2	5	2	2	3
cell_305	0	2	0	2	0	5	0	2	5	2	0	0
cell_306	0	2	0	2	0	5	0	2	5	2	0	0
cell_307	0	2	0	2	0	0	0	2	5	2	0	0
cell_308	0	2	0	2	0	0	0	2	5	2	12	0
cell_309	0	2	0	2	0	0	0	2	5	2	0	0
cell_310	0	2	0	2	0	0	0	2	5	2	0	0
cell_311	0	2	0	2	0	0	0	2	5	2	0	0
cell_312	0	2	0	2	0	0	0	2	5	2	0	0
cell_313	0	0	0	2	0	0	0	2	5	2	0	0
cell_314	0	0	0	2	0	0	2	2	5	2	0	0
cell_315	2	0	0	2	2	0	0	2	5	2	0	0
cell_316	0	0	0	2	2	2	0	2	5	2	0	0
cell_317	0	0	0	2	0	0	0	2	5	2	0	0
cell_318	0	0	0	2	0	0	0	2	5	2	0	0
cell_319	0	0	0	2	0	2	0	2	5	2	0	0
