cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_247,3,2,2,2,11,-,2,-,-,15,11,0
cell_248,3,2,2,-,-,-,2,2,2,15,11,0
cell_249,-,2,0,2,11,3,2,-,-,-,11,4
cell_250,3,-,-,2,11,3,-,-,2,15,11,-
cell_251,3,2,3,-,11,3,2,-,2,-,11,0
cell_252,3,-,0,2,-,-,2,2,2,15,11,0
cell_253,3,2,5,2,11,3,2,-,-,15,11,0
cell_254,-,2,0,2,-,3,2,2,2,15,11,0
cell_255,3,-,0,2,11,3,2,2,2,15,11,0
cell_256,3,2,0,2,11,3,-,2,-,15,11,0
cell_257,-,-,2,9,11,2,0,2,2,15,11,2
cell_258,3,-,2,9,11,2,2,2,2,15,11,-
cell_259,-,2,2,9,-,2,0,2,2,15,11,2
cell_260,3,2,-,9,-,2,0,2,2,15,11,-
cell_261,3,-,5,-,-,2,-,2,2,15,11,2
cell_262,3,-,5,9,11,2,4,-,2,15,11,2
cell_263,-,2,5,9,-,2,3,2,2,15,11,-
cell_264,3,2,5,9,11,2,3,2,2,15,11,2
cell_265,3,2,-,9,11,0,0,2,2,15,11,-
cell_266,3,2,3,9,11,3,0,2,2,-,11,2
cell_267,3,2,3,9,-,-,0,2,2,15,11,2
cell_268,-,2,3,9,11,16,0,-,2,15,11,2
cell_269,3,-,0,9,11,0,2,2,2,15,11,-
cell_270,3,-,0,9,11,2,0,2,2,15,11,-
cell_271,3,2,0,9,11,3,0,2,2,15,-,2
cell_272,-,2,0,-,11,3,0,2,-,15,11,2
cell_273,3,2,9,9,-,5,2,2,-,15,11,2
cell_274,-,2,9,9,11,5,2,-,2,15,11,2
cell_275,3,2,9,9,-,-,-,2,-,15,11,2
cell_276,3,-,9,9,11,5,2,2,2,15,11,2
cell_277,3,2,9,9,11,5,4,2,2,15,11,2
cell_278,3,2,-,-,-,5,0,2,2,15,11,2
cell_279,-,2,-,9,11,5,2,-,-,-,11,2
cell_280,3,2,9,9,-,5,4,2,2,15,11,2
cell_281,3,-,-,9,11,5,0,2,2,15,11,2
cell_282,-,2,9,-,11,5,0,2,2,15,11,2
cell_283,3,2,9,9,11,5,56,-,2,15,11,2
cell_284,3,2,-,9,11,5,56,2,2,-,11,2
cell_285,3,2,-,9,11,5,0,2,-,-,11,2
cell_286,3,2,9,-,11,5,0,2,2,15,11,2
cell_287,3,2,9,9,11,5,9,-,2,15,11,2
cell_288,3,2,9,9,11,5,0,2,2,15,11,2
cell_289,-,2,2,9,-,0,-,2,-,15,11,2
cell_290,3,2,-,9,11,0,4,2,-,15,11,2
cell_291,-,2,2,9,11,0,4,2,-,15,11,2
cell_292,3,2,2,9,11,0,4,2,2,15,11,2
cell_293,3,2,-,-,11,0,24,2,2,15,11,-
cell_294,3,2,2,9,11,0,24,2,2,-,11,2
cell_295,3,2,2,-,11,2,0,2,2,15,-,-
cell_296,-,2,2,9,11,2,0,2,2,15,11,2
cell_297,3,-,2,9,11,0,-,-,-,-,11,2
cell_298,3,2,2,9,11,2,2,2,2,15,-,2
cell_299,3,2,2,9,11,0,-,2,2,15,11,-
cell_300,3,2,2,9,11,0,2,-,2,15,-,-
cell_301,3,2,2,9,11,2,2,2,2,15,11,2
cell_302,3,-,2,9,11,-,-,2,2,-,11,2
cell_303,-,2,2,9,-,0,0,2,-,-,11,-
cell_304,-,2,2,9,11,-,0,2,2,15,11,2
cell_305,3,2,2,9,11,0,-,2,2,15,-,2
cell_306,3,2,2,-,11,0,0,2,2,15,11,2
cell_307,3,2,2,9,-,0,0,2,2,15,11,2
cell_308,3,2,2,9,11,0,0,-,2,15,-,2
cell_309,3,2,2,9,11,2,0,-,2,15,11,2
cell_310,3,2,2,9,-,-,-,2,2,15,11,2
cell_311,3,2,-,-,11,5,5,2,2,15,11,2
cell_312,3,-,2,-,-,5,-,2,2,15,11,-
cell_313,3,2,-,9,11,0,3,2,-,15,11,2
cell_314,3,2,2,9,11,-,3,-,2,15,-,2
cell_315,3,2,-,9,-,4,3,2,2,15,11,2
cell_316,3,-,2,9,11,-,-,2,2,15,11,2
cell_317,3,-,2,9,11,0,-,2,2,15,11,2
cell_318,3,2,2,-,-,-,-,2,2,15,11,2
cell_319,3,-,-,9,11,-,2,2,2,15,11,2
cell_320,3,2,2,9,11,4,2,2,-,15,-,2
cell_321,-,2,-,9,11,5,0,0,2,15,11,2
cell_322,3,2,0,9,11,-,0,0,2,15,11,-
cell_323,3,2,2,-,11,5,0,0,2,15,-,-
cell_324,3,2,2,-,-,5,3,2,2,15,11,-
cell_325,3,2,0,9,11,5,2,0,-,15,-,2
cell_326,3,2,0,9,-,5,2,-,2,15,11,2
cell_327,3,2,0,-,-,5,0,0,-,-,11,2
cell_328,3,-,4,-,11,5,0,0,2,15,11,2
cell_329,3,-,2,9,11,5,2,-,2,15,-,2
cell_330,-,-,-,9,11,5,2,5,-,15,11,2
cell_331,3,2,2,9,11,5,2,5,-,15,11,2
cell_332,3,2,2,9,11,-,-,5,-,15,11,2
cell_333,3,2,2,9,11,5,2,5,2,15,11,2
cell_334,-,-,2,-,11,-,2,5,-,15,11,2
cell_335,3,2,2,9,-,5,2,-,2,15,-,-
cell_336,3,-,2,-,-,5,2,5,2,-,11,2
cell_337,-,-,2,9,11,-,2,2,2,-,-,-
cell_338,3,2,-,-,-,2,2,2,-,-,11,2
cell_339,3,2,2,9,11,2,-,13,-,15,11,2
cell_340,-,2,2,9,11,-,2,-,-,15,11,2
cell_341,3,2,2,9,11,-,2,0,2,15,11,2
cell_342,3,2,2,9,11,2,2,0,2,-,11,2
cell_343,3,2,2,9,11,2,2,-,2,-,11,2
cell_344,3,2,2,9,11,2,2,2,2,15,11,2
cell_345,3,2,12,9,11,4,0,0,2,15,11,2
cell_346,3,2,12,9,11,4,-,0,2,15,-,2
cell_347,3,2,-,-,11,4,2,0,2,15,11,2
cell_348,3,2,12,9,11,4,2,0,2,15,-,2
cell_349,3,2,0,-,11,2,-,2,-,15,11,2
cell_350,3,-,-,9,11,2,6,-,2,15,11,-
cell_351,3,2,0,9,11,2,0,2,2,15,-,2
cell_352,3,2,0,-,11,2,-,2,2,15,-,2
cell_353,-,2,2,-,11,2,0,2,-,15,-,2
cell_354,-,-,2,9,11,2,0,-,2,15,-,2
cell_355,3,-,-,9,11,2,0,2,2,-,11,-
cell_356,3,-,2,-,11,0,0,2,2,15,-,2
cell_357,-,2,-,9,11,0,0,2,2,-,11,2
cell_358,3,2,2,9,11,0,0,2,2,15,-,2
cell_359,3,2,-,-,-,3,2,-,2,-,11,-
cell_360,-,-,2,9,11,3,2,2,2,15,11,2
cell_361,3,-,2,-,-,0,-,2,2,15,11,2
cell_362,-,2,2,9,11,2,2,2,2,15,11,2
cell_363,3,2,2,9,11,-,8,2,2,15,11,2
cell_364,3,2,2,9,11,-,8,2,-,-,11,2
cell_365,3,2,3,-,11,0,-,2,2,-,11,2
cell_366,-,2,3,9,11,-,2,2,2,15,-,2
cell_367,3,2,3,9,11,0,2,2,2,15,11,2
cell_368,3,2,3,9,11,0,2,2,2,15,11,-
cell_369,3,2,2,9,11,2,0,0,2,15,11,2
cell_370,3,2,2,-,11,2,0,0,2,-,11,2
cell_371,3,2,-,9,11,-,0,0,2,-,11,-
cell_372,3,2,-,9,11,-,-,-,2,15,11,-
cell_373,3,-,0,9,11,2,0,0,2,15,11,-
cell_374,-,-,2,-,-,2,0,0,2,-,11,2
cell_375,-,2,0,-,-,2,0,15,2,15,-,2
cell_376,3,-,0,9,-,2,9,15,-,15,11,2
cell_377,3,2,3,9,11,0,3,2,-,15,11,2
cell_378,3,2,0,9,-,2,3,-,-,15,11,2
cell_379,-,2,2,-,11,0,3,2,2,-,-,2
cell_380,-,2,2,-,-,0,3,2,-,15,11,2
cell_381,3,2,3,9,11,11,3,2,2,-,11,2
cell_382,-,-,0,9,11,2,3,2,2,15,-,2
cell_383,3,2,0,9,-,0,3,2,-,-,11,2
cell_384,3,2,0,9,-,0,3,2,-,-,11,2
cell_385,-,2,2,5,11,4,0,2,2,15,11,2
cell_386,3,-,2,-,11,4,0,-,2,-,11,2
cell_387,3,2,2,5,11,4,4,2,-,-,-,-
cell_388,3,2,2,5,-,4,0,-,2,-,11,2
cell_389,3,2,2,5,11,-,12,2,-,15,11,2
cell_390,3,-,2,5,11,4,12,-,2,15,11,2
cell_391,-,2,2,5,11,4,12,2,2,-,-,2
cell_392,3,2,-,5,11,4,-,2,-,15,11,2
cell_393,3,2,2,-,-,4,2,2,2,15,11,2
cell_394,-,-,2,5,11,4,2,2,2,15,11,2
cell_395,-,2,2,5,11,4,2,2,2,15,11,-
cell_396,-,2,2,5,-,4,-,2,2,15,11,2
cell_397,3,2,2,5,11,-,2,2,2,15,11,2
cell_398,3,2,2,5,11,4,2,2,2,15,-,-
cell_399,-,2,2,5,-,-,2,2,2,15,-,-
cell_400,3,2,2,5,11,4,2,2,2,15,11,-
cell_401,-,2,2,5,11,4,2,0,-,15,11,2
cell_402,3,-,-,5,11,-,2,0,2,-,11,2
cell_403,3,-,3,5,11,4,2,0,2,-,11,2
cell_404,3,2,0,-,11,4,2,-,2,15,11,-
cell_405,-,-,-,5,11,-,-,2,2,15,11,2
cell_406,3,2,0,5,11,4,2,-,2,15,11,2
cell_407,3,-,12,5,-,-,2,2,2,15,-,2
cell_408,3,2,42,5,11,4,2,25,-,15,11,2
cell_409,3,2,0,5,11,4,5,0,2,15,11,-
cell_410,3,-,2,5,11,4,-,4,-,-,-,-
cell_411,3,2,0,5,11,-,-,2,2,15,11,-
cell_412,-,2,0,5,11,4,5,2,2,15,11,2
cell_413,3,2,0,-,11,4,5,2,2,-,-,2
cell_414,3,2,0,5,11,4,5,-,2,15,11,-
cell_415,-,2,0,-,11,4,5,2,2,15,11,2
cell_416,3,2,-,5,11,4,5,2,2,15,11,2
cell_417,3,2,5,-,-,4,0,21,2,-,11,2
cell_418,3,2,5,5,11,4,0,0,-,15,11,2
cell_419,3,2,5,-,11,4,0,2,2,15,11,2
cell_420,3,2,5,-,-,4,0,-,-,-,11,2
cell_421,3,2,-,5,-,-,-,-,-,15,11,-
cell_422,3,2,5,-,11,4,0,2,-,15,11,2
cell_423,3,2,0,5,-,-,0,2,2,15,11,2
cell_424,3,2,0,5,11,4,14,2,2,15,-,2
cell_425,-,2,-,5,11,4,2,0,-,15,11,2
cell_426,3,2,0,5,11,4,-,0,-,15,11,2
cell_427,3,2,0,-,11,4,2,0,2,15,-,2
cell_428,3,-,-,-,11,4,2,0,2,15,-,-
cell_429,3,-,0,-,11,4,2,2,2,-,11,2
cell_430,3,-,2,-,-,4,2,2,-,15,-,-
cell_431,3,2,15,5,11,4,2,0,2,15,11,2
cell_432,3,2,0,-,-,4,2,0,2,15,11,2
cell_433,3,-,5,5,11,-,-,8,2,15,11,2
cell_434,3,2,-,5,11,4,2,-,2,-,11,2
cell_435,-,-,5,-,11,4,2,8,2,15,11,-
cell_436,-,2,5,5,11,4,2,8,-,15,11,-
cell_437,-,2,5,5,11,4,2,8,-,15,11,-
cell_438,3,-,5,5,11,4,2,-,2,15,11,2
cell_439,3,2,5,5,11,4,2,8,-,15,11,2
cell_440,-,2,5,5,-,4,2,8,2,15,-,2
cell_441,3,2,0,5,11,4,2,8,2,-,11,-
cell_442,3,2,0,5,11,4,-,8,2,15,11,2
cell_443,-,2,-,-,11,4,2,8,-,15,11,-
cell_444,3,2,0,5,11,4,-,8,2,15,11,-
cell_445,3,-,0,5,11,-,2,-,-,15,11,2
cell_446,3,2,0,5,11,4,2,8,-,-,11,2
cell_447,3,2,0,5,11,4,-,8,2,15,-,2
cell_448,-,2,0,5,11,4,2,8,2,15,11,2
cell_449,3,-,-,5,-,-,5,5,2,15,11,2
cell_450,3,-,3,5,11,2,5,5,2,15,11,2
cell_451,3,-,-,5,-,0,5,-,2,15,11,2
cell_452,-,-,3,5,11,0,5,5,2,15,11,2
cell_453,-,2,3,5,11,0,5,5,2,-,11,2
cell_454,3,2,-,-,11,-,5,5,2,-,11,2
cell_455,3,2,3,5,11,0,5,5,2,15,11,2
cell_456,3,2,-,5,11,0,5,5,2,15,11,-
cell_457,-,2,3,-,11,0,5,5,-,15,-,2
cell_458,3,-,3,5,11,0,5,5,2,-,11,2
cell_459,3,2,3,-,11,2,5,5,2,15,11,2
cell_460,3,2,3,-,11,-,5,5,2,-,11,-
cell_461,3,2,-,5,11,-,5,-,2,15,11,-
cell_462,3,2,3,5,11,0,5,5,2,15,11,2
cell_463,3,-,3,-,-,2,5,5,-,15,11,2
cell_464,3,-,3,5,11,0,5,-,2,15,11,2
cell_465,3,2,-,5,11,-,0,0,2,15,-,2
cell_466,3,-,12,5,11,2,8,0,2,15,11,2
cell_467,3,2,12,5,-,-,-,5,2,15,11,2
cell_468,3,2,12,5,11,-,0,5,2,-,11,2
cell_469,-,2,12,-,11,2,2,2,2,-,11,2
cell_470,3,-,12,-,-,-,2,2,2,-,11,2
cell_471,3,2,12,5,11,2,0,2,-,-,11,-
cell_472,-,-,12,5,11,2,0,2,2,15,11,2
cell_473,-,2,12,-,11,2,2,0,2,15,11,2
cell_474,3,2,-,5,11,2,2,2,2,-,-,-
cell_475,3,2,12,5,11,2,2,0,2,15,11,2
cell_476,3,2,12,5,11,2,2,0,2,15,11,2
cell_477,3,2,12,5,11,2,2,0,2,-,-,2
cell_478,3,2,-,5,11,2,0,0,2,15,11,2
