,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_219,0,0,0,0,0,0,0,2,0,0,0,0
cell_220,0,0,0,0,0,0,0,2,0,0,0,0
cell_221,0,0,0,0,2,0,0,0,0,0,0,0
cell_222,0,0,0,0,0,0,0,0,0,2,0,0
cell_223,0,0,0,0,0,0,0,0,0,0,0,0
cell_224,0,0,0,0,0,0,2,0,0,0,0,0
cell_225,0,0,0,0,0,0,73,0,4,0,0,0
cell_226,0,0,0,0,0,0,73,0,2,0,0,0
cell_227,0,5,0,0,0,0,0,0,0,0,0,0
cell_228,0,0,0,0,0,0,0,0,0,0,0,0
cell_229,0,0,0,0,0,0,4,0,0,0,0,2
cell_230,0,0,0,0,0,0,4,0,0,0,0,0
cell_231,0,9,5,0,0,3,4,0,0,0,0,0
cell_232,0,9,0,0,0,0,4,0,4,0,2,0
cell_233,0,2,0,2,27,0,0,0,0,0,0,0
cell_234,0,2,0,2,27,0,0,0,0,0,0,15
cell_235,2,2,0,2,27,0,0,0,0,0,0,0
cell_236,0,2,0,2,27,0,0,0,0,0,0,0
cell_237,0,0,0,0,27,0,0,0,3,2,0,0
cell_238,0,0,0,0,27,0,0,0,3,0,0,0
cell_239,0,0,0,0,27,0,15,0,3,0,0,0
cell_240,0,0,0,0,27,0,15,0,3,3,0,0
cell_241,2,0,0,0,2,0,2,0,0,0,0,3
cell_242,0,2,0,0,2,0,2,0,0,0,0,3
cell_243,5,2,0,0,2,0,2,0,0,0,0,3
cell_244,0,0,0,0,2,8,2,0,0,0,0,3
cell_245,0,0,0,0,2,0,2,0,0,0,0,3
cell_246,0,0,0,0,2,0,2,0,0,0,0,3
cell_247,0,0,0,0,2,0,2,2,0,0,0,3
cell_248,0,0,0,0,2,0,2,2,0,5,0,3
cell_249,0,0,0,0,2,37,4,2,0,0,0,0
cell_250,0,0,0,0,2,37,4,0,0,0,0,0
cell_251,0,0,0,0,2,37,4,0,0,0,0,0
cell_252,3,0,0,0,2,37,4,0,0,0,0,0
cell_253,0,0,0,0,2,0,4,0,0,0,2,2
cell_254,0,0,0,0,2,0,4,0,0,0,2,0
cell_255,0,0,0,0,2,0,4,3,0,0,2,5
cell_256,0,0,0,0,2,0,4,3,0,0,2,0
cell_257,0,8,0,0,0,0,0,0,0,0,0,0
cell_258,0,8,0,0,0,0,0,0,0,0,0,0
cell_259,0,8,0,0,0,0,0,0,0,0,3,0
cell_260,0,8,0,0,0,0,0,0,0,0,0,0
cell_261,0,8,0,0,2,0,0,0,2,0,0,0
cell_262,0,8,0,0,2,0,0,0,0,0,0,0
cell_263,0,8,0,0,0,0,0,0,0,0,0,0
cell_264,0,8,0,0,0,0,0,0,0,0,0,0
cell_265,0,8,0,0,0,0,0,0,0,2,0,0
cell_266,0,8,0,0,0,0,0,0,0,0,0,0
cell_267,0,8,0,0,0,0,0,0,0,0,0,0
cell_268,0,8,0,0,0,2,0,0,0,0,0,0
cell_269,0,8,0,0,3,0,0,2,0,0,0,2
